Protein,WT,WT,AT5G27240,AT5G27240,AT3G04980,AT3G04980
AT5G47690,0,1,1,0,2,2
AT5G51060,0,0,1,1,0,0
AT5G49210,0,1,1,0,2,2
AT5G49930,0,5,1,0,7,4
AT5G51550,0,2,1,1,2,1
AT5G51590,0,1,1,0,5,6
AT5G52650,0,1,1,1,1,1
AT5G52820,0,1,1,3,1,2
AT5G54160,0,2,1,0,4,1
AT5G57950,0,1,1,0,0,0
AT5G58290,0,0,1,0,5,1
AT5G59310,0,0,1,0,1,0
AT5G62340,0,1,1,0,1,1
AT5G62790,0,0,1,0,1,0
AT5G62930,0,0,1,0,1,1
AT5G63140,0,2,1,0,3,1
AT5G64160,0,0,1,0,0,0
AT5G65220,0,3,1,0,3,5
AT5G66540,0,1,1,0,3,0
AT5G67350,0,0,1,0,1,0
ATCG00170,0,4,1,0,21,29
ATCG00180,0,0,1,0,9,11
ATCG00500,0,0,1,0,5,0
ATCG00650,0,1,1,0,3,5
ATCG00820,0,1,1,1,0,0
ATCG01060,0,0,1,0,2,2
ATCG01120,0,1,1,0,3,3
AT1G02050,0,1,0,0,1,0
AT1G02930,0,0,0,0,5,0
AT1G03475,0,0,0,0,2,3
AT1G04880,0,0,0,0,2,2
AT1G05190,0,1,0,1,0,1
AT1G05520,0,0,0,0,1,0
AT1G06290,0,0,0,0,3,0
AT1G06670,0,2,0,0,2,1
AT1G06720,0,0,0,0,3,0
AT1G07790,0,0,0,0,1,4
AT1G07830,0,2,0,0,2,2
AT1G09620,0,0,0,0,6,1
AT1G09640,0,0,0,0,2,0
AT1G59830,0,0,0,0,2,0
AT1G10840,0,0,0,0,2,0
AT1G11240,0,1,0,0,1,2
AT1G11910,0,1,0,1,3,4
AT1G12380,0,0,0,0,0,2
AT1G12840,0,0,0,0,3,0
AT1G12920,0,0,0,0,2,0
AT1G13270,0,0,0,0,2,0
AT1G13280,0,0,0,0,2,0
AT2G02760,0,0,0,0,2,2
AT1G14610,0,0,0,0,1,0
AT1G14900,0,1,0,0,2,3
AT1G15440,0,0,0,0,4,2
AT1G15750,0,0,0,0,2,1
AT1G17290,0,0,0,0,2,1
AT1G18250,0,0,0,0,1,2
AT1G20200,0,2,0,2,11,7
AT1G76030,0,0,0,0,1,0
AT1G21600,0,0,0,0,4,5
AT1G22960,0,0,0,0,0,1
AT1G23820,0,0,0,0,2,0
AT1G24050,0,0,0,0,1,1
AT1G24160,0,1,0,0,0,0
AT1G24706,0,1,0,0,1,1
AT1G25155,0,0,0,0,2,0
AT1G26480,0,0,0,0,3,0
AT1G27310,0,0,0,0,2,0
