Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT3G23810,0,0,0,0,0,0,0,0,1,1,0,1
AT1G13880,0,0,0,0,0,0,0,0,0,1,0,2
AT2G44310,0,0,0,0,0,0,0,0,0,1,0,2
ATCG01060,0,0,0,0,0,0,0,0,0,1,0,2
AT1G41880,0,0,0,0,0,0,0,0,2,0,0,0
AT1G62750,0,0,0,0,0,0,0,0,2,0,0,0
AT3G25860,0,0,4974100,4453200,4442200,3705000,1,0,3,17,15,4
AT3G26650,0,0,5484600,8380500,8148400,4520600,1,1,10,14,10,4
AT5G02790,8278600,0,11604000,4592000,8961600,7300900,1,1,7,4,10,4
AT3G01500,0,0,9035600,5355500,6078100,7117400,1,0,8,11,9,5
AT3G12780,0,0,4901200,2435500,5272300,4625800,1,0,5,7,9,5
AT3G25530,0,0,6266600,3696500,4787100,0,1,0,8,3,8,2
AT3G13490,0,0,0,998210,2104800,0,1,0,2,3,8,2
AT1G70600,0,0,12928000,10161000,8051700,12211000,1,1,5,9,8,8
AT2G28000,0,0,2734600,25394000,1565600,852370,1,0,6,42,7,2
AT2G13360,0,0,2698700,2253500,5486500,0,1,0,4,7,7,3
AT4G13940,0,0,0,0,1674900,1840800,1,0,3,1,7,2
AT4G25130,0,0,6937000,5662700,5804600,9529800,1,2,3,7,7,6
AT1G30230,0,0,5838600,4948900,8517500,0,1,0,5,13,6,1
AT1G32060,0,0,7575000,4992200,5518400,8304000,1,1,7,17,6,4
AT1G24020,0,0,3303900,4422200,4123900,4509300,1,0,7,7,5,6
AT3G20210,0,0,2614700,2917400,3769400,3841000,1,0,6,9,4,3
AT5G38480,0,0,8078800,10390000,8065100,8391100,1,0,11,7,4,5
AT1G19570,0,0,3125900,2898400,7971500,0,1,0,3,6,4,1
AT1G56340,0,0,0,2111000,1457600,0,1,0,2,5,4,1
AT2G35635,0,0,13786000,33328000,13251000,12426000,1,1,5,19,4,3
AT2G01520,0,0,0,6967400,6324200,12885000,1,1,1,9,4,4
AT2G24940,0,0,5832100,7824000,6590600,9235800,1,1,4,6,4,6
AT2G37040,0,0,0,0,0,0,1,1,0,3,4,2
AT5G19780,0,0,0,5058900,9924500,0,1,0,1,8,3,0
AT1G69740,0,0,3826700,4222100,4154100,4319600,1,0,4,7,3,3
AT1G02780,0,0,0,4639600,0,4640000,1,0,2,7,3,3
AT1G59359,5200600,0,5454000,4267600,3839000,4156900,1,0,4,6,3,2
AT1G18540,0,0,0,0,1265600,1908200,1,0,1,4,3,3
AT2G21330,0,0,2003000,1017600,0,0,1,0,2,3,3,0
AT4G05180,0,0,0,0,0,0,1,0,4,2,3,1
AT3G24830,0,0,0,0,0,0,1,0,2,2,3,0
AT5G26710,0,0,0,0,0,0,1,0,1,2,3,0
AT1G06680,0,0,5530100,0,0,3817400,1,0,4,1,3,2
AT1G09340,0,0,5095200,5694500,0,0,1,1,2,9,3,0
AT5G06850,0,0,0,0,0,0,1,2,2,3,3,0
AT3G51240,0,0,4755400,2717600,2650100,4427500,1,0,4,8,2,6
AT3G14420,0,0,0,0,0,0,1,0,0,6,2,2
AT1G53240,0,0,4207400,2513700,8554700,0,1,0,3,5,2,2
AT2G47610,0,0,0,1493300,2374800,0,1,0,2,3,2,0
AT5G11710,0,0,0,0,0,0,1,0,4,1,2,2
AT5G45930,0,0,0,0,0,0,1,0,1,1,2,0
AT5G66570,0,0,0,0,0,0,1,0,1,1,2,0
AT5G02450,0,0,0,0,0,0,1,1,2,3,2,2
