Protein,AT5G41580,AT5G41580,WT
AT3G13860,2,3,2
AT3G07720,2,3,2
AT2G37040,2,3,2
AT2G36160,2,3,2
AT5G65720,2,2,2
AT5G49460,2,2,2
AT5G47870,2,2,2
AT5G42820,2,2,2
AT5G16400,2,2,2
AT5G14910,2,2,2
AT4G39800,2,2,2
AT4G36810,2,2,2
AT4G22300,2,2,2
AT1G20450,2,2,2
AT5G14920,2,1,2
AT4G14030,2,1,2
AT4G05530,2,1,2
AT4G01900,2,1,2
AT3G58990,2,1,2
AT1G54270,2,1,2
AT1G12900,2,1,2
AT1G08520,2,1,2
AT5G05780,2,0,2
AT3G26420,2,0,2
AT2G25110,2,0,2
AT1G74230,2,0,2
AT1G52670,2,0,2
AT4G27500,1,7,2
AT5G26667,1,5,2
AT4G33250,1,5,2
AT3G57410,1,4,2
AT2G47240,1,4,2
AT5G53300,1,3,2
AT5G15230,1,3,2
AT5G11670,1,3,2
AT4G33520,1,3,2
AT4G12960,1,3,2
AT3G53580,1,3,2
AT3G23810,1,3,2
AT3G11770,1,3,2
AT3G04520,1,3,2
AT2G32060,1,3,2
AT1G32050,1,3,2
ATMG00090,1,2,2
AT5G34850,1,2,2
AT4G31340,1,2,2
AT4G14960,1,2,2
AT3G51800,1,2,2
AT3G02310,1,2,2
AT2G23080,1,2,2
AT2G10940,1,2,2
AT2G03470,1,2,2
AT1G13930,1,2,2
AT1G11430,1,2,2
AT1G06410,1,2,2
AT5G64140,1,1,2
AT5G48375,1,1,2
AT5G37720,1,1,2
AT4G04460,1,1,2
AT4G03520,1,1,2
AT4G00430,1,1,2
AT3G54900,1,1,2
AT3G11940,1,1,2
AT3G04610,1,1,2
AT2G47710,1,1,2
AT2G45820,1,1,2
AT2G36870,1,1,2
AT2G29440,1,1,2
AT2G25970,1,1,2
AT1G80600,1,1,2
AT1G74920,1,1,2
AT1G62750,1,1,2
AT1G48420,1,1,2
AT4G28990,1,0,2
AT2G36620,1,0,2
AT1G15270,1,0,2
AT1G47710,0,5,2
AT5G60640,0,3,2
AT5G35430,0,3,2
AT5G64570,0,2,2
AT5G64130,0,2,2
AT2G45640,0,2,2
AT2G44160,0,2,2
AT1G12000,0,2,2
AT5G16710,0,1,2
AT5G16390,0,1,2
AT3G18490,0,1,2
AT2G21160,0,1,2
AT1G04050,0,1,2
AT5G04360,0,0,2
AT3G49840,0,0,2
AT2G02160,0,0,2
AT1G47980,0,0,2
AT1G36160,19,24,3
AT1G79690,19,10,3
AT3G22330,15,4,3
AT1G01100,10,12,3
AT1G09270,10,8,3
AT3G20050,10,5,3
AT4G31810,9,8,3
AT4G13930,8,11,3
AT1G04270,8,11,3
AT1G52360,8,5,3
AT1G32200,8,5,3
AT5G52920,8,4,3
AT3G02230,7,10,3
AT5G54640,7,9,3
ATCG00810,7,7,3
AT5G24520,7,7,3
AT2G43750,7,7,3
AT2G29320,7,6,3
AT5G54160,7,5,3
AT1G74970,7,4,3
AT4G29340,6,13,3
AT2G30620,6,8,3
AT1G27090,6,8,3
AT5G48880,6,5,3
AT4G01370,6,5,3
AT1G18450,6,5,3
AT4G11175,6,2,3
AT1G20200,6,2,3
AT5G20720,5,9,3
AT3G53750,5,9,3
AT2G45810,5,8,3
AT2G37230,5,7,3
AT2G19070,5,7,3
AT3G09500,5,6,3
AT1G10840,5,6,3
AT4G01310,5,5,3
AT5G24400,5,4,3
AT4G38460,5,4,3
AT3G49080,5,4,3
AT4G20050,5,3,3
AT2G34590,5,2,3
AT4G15210,5,1,3
AT2G44710,5,1,3
AT2G44530,5,1,3
AT4G25630,4,15,3
AT5G59810,4,10,3
AT5G52820,4,10,3
AT1G10580,4,10,3
AT1G52040,4,9,3
AT5G67630,4,7,3
AT5G38430,4,7,3
ATCG00750,4,6,3
AT1G09760,4,6,3
AT5G51550,4,5,3
AT5G23540,4,5,3
AT4G24820,4,5,3
AT2G42520,4,5,3
AT1G76180,4,4,3
AT5G48180,4,3,3
AT2G47580,4,3,3
AT3G62870,4,2,3
AT3G18035,4,2,3
AT5G43330,4,1,3
AT2G31390,4,1,3
AT1G23820,4,1,3
AT1G06290,4,0,3
AT1G75930,3,12,3
AT5G40040,3,8,3
AT5G60980,3,7,3
AT5G62790,3,6,3
AT3G02080,3,5,3
AT5G06290,3,4,3
AT4G36690,3,4,3
AT1G66850,3,4,3
AT1G47420,3,4,3
AT5G02450,3,3,3
AT4G30220,3,3,3
AT4G23100,3,3,3
AT3G56090,3,3,3
