Protein,WT,WT.1,AT5G04940
AT3G14415,2,0,3
AT5G06600,5,0,3
AT1G12570,3,0,2
AT4G13850,0,0,3
AT4G18360,0,0,2
AT3G14310,2,0,2
AT1G77440,2,0,5
AT5G57655,0,0,5
AT1G21700,3,0,4
ATCG01060,3,0,4
AT1G14670,2,0,3
AT4G38130,3,0,3
AT5G04280,2,0,0
AT1G49760,5,0,9
AT4G02840,0,0,4
AT1G14980,0,2,3
AT4G11150,2,0,4
AT2G03440,0,0,3
AT3G59480,2,0,3
AT1G06260,4,0,3
AT1G78150,2,2,3
AT5G22330,0,0,2
AT3G01390,0,0,2
AT3G52220,0,0,2
AT2G34860,2,0,2
AT5G09440,2,0,0
AT5G63570,3,0,0
AT2G29550,4,3,9
AT5G58330,2,0,4
AT2G44200,0,0,3
AT3G58680,0,0,3
AT2G24590,3,0,3
AT3G62870,5,4,3
AT1G64040,0,0,2
AT1G28290,0,4,0
AT2G40590,3,0,2
AT1G04690,0,0,0
AT1G44835,0,0,0
AT2G16780,2,0,0
AT1G23310,3,0,7
AT3G25230,2,0,6
AT2G20420,2,0,3
AT1G71695,0,4,0
AT3G12800,3,0,2
AT4G04950,0,0,5
AT1G64740,4,7,8
AT1G13930,0,0,5
AT1G32050,2,0,4
AT4G14716,2,0,4
AT1G51510,2,0,3
AT4G03280,4,0,3
AT2G46610,15,12,6
AT3G18130,4,0,3
AT1G48630,5,0,3
AT4G09020,3,0,2
AT5G46290,3,0,2
AT3G22230,0,0,0
AT2G21170,2,0,0
AT4G08580,3,0,5
AT3G61860,15,12,0
AT5G17900,3,0,5
AT2G37190,0,0,4
AT2G24270,0,0,4
AT3G53430,0,0,4
AT2G33730,0,0,3
AT5G53560,0,0,3
AT3G45030,2,0,3
AT3G15020,2,0,3
AT5G07470,2,0,3
AT1G79550,2,0,3
AT5G62300,2,0,3
AT2G25670,3,0,3
AT2G28680,4,0,3
AT4G13930,5,0,3
AT3G16950,0,0,2
AT4G35100,0,0,2
AT2G06850,2,0,2
AT3G04600,2,0,2
AT3G25150,2,0,2
AT1G21065,3,0,2
AT1G79690,5,0,2
AT4G15000,0,0,0
AT3G07010,0,0,0
AT2G29320,0,0,0
AT1G01300,0,0,0
AT1G78060,2,0,0
AT1G78570,2,0,0
AT4G36020,2,0,0
AT3G05420,2,0,0
AT5G21274,3,0,8
AT3G43810,3,0,8
AT1G09310,0,0,7
AT1G50370,2,0,6
AT5G28840,4,0,6
AT1G35720,0,0,5
AT4G18465,0,0,5
AT4G13430,3,0,5
AT3G54050,4,0,5
ATCG00470,0,0,4
AT1G31160,0,0,4
AT2G19480,0,0,4
AT1G65980,2,0,4
AT3G27830,2,0,4
AT3G27850,2,0,4
AT2G27710,5,0,4
AT1G49540,0,0,3
AT5G58590,0,0,3
AT3G56460,0,0,3
AT2G41740,0,0,3
AT1G34430,0,0,3
AT3G22590,0,0,3
AT1G24360,0,0,3
AT2G40490,0,0,3
AT4G35460,2,0,3
AT1G65150,2,0,3
AT1G06030,2,0,3
AT3G25530,2,0,3
AT3G12290,2,0,3
AT3G53970,2,0,3
AT1G29900,2,0,3
AT2G37220,3,0,3
AT5G03850,5,0,3
AT3G10090,5,0,3
AT4G02930,0,0,2
AT2G14260,0,0,2
AT2G17265,0,0,2
AT2G01520,0,0,2
AT2G31980,0,0,2
AT1G18250,0,0,2
AT5G40490,0,0,2
AT5G42740,0,0,2
AT3G57410,0,0,2
AT5G24400,2,0,2
AT4G28750,3,0,2
AT5G22040,3,0,2
AT2G30110,3,0,2
AT5G67360,3,0,2
AT3G19820,0,0,0
AT1G15690,0,2,0
AT3G01280,0,0,0
AT1G57860,0,0,0
ATMG00510,0,0,0
AT3G18080,0,0,0
AT1G56110,0,0,0
AT1G03890,0,0,0
AT3G55360,0,0,0
AT4G29060,3,3,0
AT2G28490,0,0,0
AT2G33040,0,0,0
AT1G75830,0,0,0
AT5G58030,0,0,0
AT5G37780,0,0,0
AT4G00430,0,0,0
AT1G09690,0,0,0
AT3G63410,0,0,0
ATCG01310,0,0,0
ATCG00830,0,0,0
AT1G09590,0,0,0
AT4G02450,0,0,0
AT4G02150,0,0,0
AT5G11900,0,0,0
AT5G04590,0,0,0
AT5G63860,0,0,0
AT5G23880,0,0,0
ATCG00340,0,0,0
AT2G38700,0,0,0
AT3G52500,0,0,0
AT5G07030,0,0,0
AT1G53580,0,0,0
AT2G46520,0,0,0
AT5G20920,0,0,0
AT1G57660,0,0,0
AT5G61780,2,0,0
AT5G30510,2,0,0
AT5G52920,2,0,0
AT4G14880,2,0,0
AT3G19170,2,0,0
AT5G07350,2,0,0
AT1G62750,3,0,0
AT3G52140,3,0,0
AT5G17020,3,0,0
AT5G54900,3,0,0
AT4G10710,2,0,0
AT5G65950,4,0,3
AT3G47650,3,0,4
AT2G03850,0,0,2
AT2G40840,3,0,3
AT1G14810,0,0,0
AT2G05990,3,0,5
AT3G02480,0,0,3
AT4G24580,3,0,0
AT5G48480,3,0,4
AT2G38230,2,0,3
AT3G11270,4,0,3
AT5G54750,0,0,6
AT3G58570,3,0,2
AT1G69740,2,0,4
AT5G28050,2,0,3
AT5G58710,3,0,2
AT3G22320,0,0,0
AT2G17870,0,0,0
AT3G56240,2,0,0
AT2G19760,2,0,5
AT1G65960,2,0,3
AT4G29830,3,0,5
ATCG00280,0,2,0
AT3G25220,4,0,3
AT2G29960,2,0,2
AT3G50590,2,0,0
AT5G64200,3,0,0
AT3G04470,3,0,5
AT5G58470,0,0,3
AT3G07590,0,0,3
AT5G51120,0,0,3
AT2G42740,2,0,3
AT4G18730,2,0,3
AT3G58700,2,0,3
AT5G45775,2,0,3
AT3G62840,0,0,2
AT2G38540,0,0,2
AT2G47640,0,0,2
AT4G02430,2,0,2
AT3G56130,3,0,2
AT3G54400,0,0,0
ATCG00750,2,0,0
AT2G30200,2,0,0
AT3G05910,3,0,0
AT1G14650,3,0,0
AT5G15020,5,0,0
AT2G38770,2,0,7
AT2G47730,0,0,5
AT4G00660,2,0,5
AT1G17290,0,0,3
AT5G18380,2,0,3
AT3G18580,5,0,3
AT4G21860,0,0,2
AT3G10850,0,0,2
AT1G08360,2,0,2
AT1G35680,2,0,2
AT1G07170,4,0,2
AT2G30000,4,0,2
AT5G14240,0,0,0
AT5G04710,0,0,0
AT5G63420,0,0,0
AT2G29400,0,0,0
AT3G27530,0,0,0
AT5G20950,0,2,0
AT1G70580,2,0,7
AT1G63940,4,0,0
AT5G43830,3,0,3
AT2G27720,4,0,2
AT2G03150,2,0,0
AT4G10480,2,0,5
AT1G30460,4,0,4
AT3G22330,0,0,3
AT5G05730,2,0,3
AT2G19070,3,0,3
AT2G41500,0,0,2
AT2G47940,0,0,2
AT5G54770,3,0,2
AT2G47710,0,0,0
AT4G24130,0,0,0
AT5G16510,3,0,0
AT5G16390,3,0,0
AT5G50950,2,0,5
AT1G12230,0,0,4
AT2G43520,0,0,4
AT2G45810,2,0,4
AT1G72150,0,0,3
AT5G57870,0,0,3
AT1G30580,0,0,3
AT3G61240,2,0,3
AT5G48180,3,0,3
AT2G44050,0,0,2
AT3G52990,0,0,2
AT3G47370,0,0,2
AT3G21750,0,0,2
